,adsorbate OH len,OO_length,OH,O,bulk_id,miller_index,bulk_symbols,HO2,delG1,delG2,delG3,delG4,maxG,RDS,eta,OOHangle,OH_length
28744,[0.9771413579465438],1.4554695829215318,1.1364389699999953,2.5788413875,mp-997102,"(0, 1, 1)",K4Ag4O8,3.771358059999995,1.1364389699999953,1.442402417500005,1.1925166724999947,1.148641940000005,1.442402417500005,2,0.212402417500005,101.65028852920886,0.9801715745723192
14596,[0.9797575377229496],1.4023578877527991,1.0906745499999977,2.6063631749999963,mp-997051,"(1, 0, -2)",Pd3Au3O6,4.010796730000008,1.0906745499999977,1.5156886249999986,1.4044335550000118,0.909203269999992,1.5156886249999986,2,0.2856886249999986,102.68650164564578,0.9856808404330196
40768,"[0.9748793467808635, 1.0521766081178177]",1.4340640153511302,1.5297494199999966,2.3495955900000047,mp-997051,"(1, 0, -2)",Pd3Au3O6,3.641608020000005,1.5297494199999966,0.8198461700000081,1.2920124299999998,1.2783919799999954,1.5297494199999966,1,0.2997494199999966,101.804350357762,0.9836243941235044
31641,"[0.9909980144204186, 0.9750489618336796]",1.4778878892313094,1.089624569999993,2.371866647500002,mp-1196890,"(1, 1, -1)",Sc8Rh8O24,3.3899191000000406,1.089624569999993,1.282242077500009,1.0180524525000387,1.530080899999959,1.530080899999959,4,0.3000808999999593,101.88734665046124,0.98435961013125
74668,"[0.97993153139746, 1.043097507645372]",1.3374678626448315,1.573806354999997,2.704763132500003,mp-17708,"(1, 0, 0)",Ge6Sb4O18,3.917907780000005,1.573806354999997,1.1309567775000062,1.2131446475000018,1.0020922199999949,1.573806354999997,1,0.343806354999997,107.94861512159524,1.0731667879197595
1798,[0.9820078540956858],1.4591973649431809,1.4755448199999626,2.2859028649999944,mp-997000,"(2, 1, 0)",Ag2Hg2O4,3.8797418099999823,1.4755448199999626,0.8103580450000318,1.593838944999988,1.0402581900000176,1.593838944999988,3,0.3638389449999879,100.3817897552527,0.980134246033016
23278,[0.9892593017472273],1.446567108662617,1.5374368899999615,1.790795279999967,mp-562364,"(1, -1, -1)",Cr4Ag4O14,3.32238773,1.5374368899999615,0.2533583900000051,1.5315924500000333,1.59761227,1.59761227,4,0.3676122699999999,104.01015729661653,1.0009617338399877
22731,[0.9851268160297411],1.4437546159319272,1.6222955599999784,2.295969009999991,mp-546111,"(0, 2, 1)",Cr6Ag2O16,3.5021046900000083,1.6222955599999784,0.6736734500000126,1.2061356800000174,1.4178953099999916,1.6222955599999784,1,0.3922955599999784,100.86882480612064,0.9836281706113564
69748,[0.9731093996052452],1.4922497451351222,0.4990456699999958,2.128449020000003,mp-1181502,"(2, 2, 3)",Cs2O4,3.7083761199999934,0.4990456699999958,1.6294033500000071,1.579927099999992,1.2116238800000052,1.6294033500000071,2,0.3994033500000071,100.32198370045292,0.9742535807887784
73300,[0.9711367597876821],1.4032378315191103,1.448351630000028,3.080612807499987,mp-779906,"(0, 0, 1)",Ca6W2O12,4.64142325,1.448351630000028,1.6322611774999587,1.560810442500013,0.27857675,1.6322611774999587,2,0.4022611774999587,101.26932047056545,0.9824819800229176
34644,"[1.0394077065458502, 0.9708304726304481]",1.4098053389180965,1.004920135000001,2.6442939850000022,mp-753315,"(1, 0, 0)",Mg6Zn2O8,3.8346118100000095,1.004920135000001,1.6393738500000012,1.1903178250000082,1.0853881899999895,1.6393738500000012,2,0.4093738500000012,102.76090861458236,0.9877976159967377
5592,[1.000465072010665],1.4393184375735444,1.6652859099999466,3.083523669999946,mp-573119,"(1, 1, 0)",Bi4Rh4O12,4.042413919999999,1.6652859099999466,1.4182377599999996,0.9588902500000523,0.8775860800000013,1.6652859099999466,1,0.4352859099999466,102.76397481623285,0.983572005312459
81917,"[0.9823240340134561, 0.9842152200605876]",1.433026933738473,0.3941449049999994,2.072725551666667,RuPtO4-rutile,"(0, 0, 1)",Ru1Pt1O4,3.5373873199999912,0.3941449049999994,1.6785806466666675,1.464661768333324,1.3826126800000087,1.6785806466666675,2,0.4485806466666677,99.45002308873217,0.9828186301696472
20842,[0.97814451236393],1.4863900920678512,1.3130363199999613,1.903841295000004,mp-769006,"(1, 0, 0)",Li2Bi24O40,3.615883259999973,1.3130363199999613,0.5908049750000426,1.7120419649999694,1.3041167400000266,1.7120419649999694,3,0.4820419649999694,99.6378537679484,0.9777799193938694
25270,[0.972947613588616],1.4215686572853254,0.4582433700000001,1.6940754400000035,mp-772856,"(1, 1, 1)",Cu2Hg2O4,3.184119079999985,0.4582433700000001,1.2358320700000034,1.4900436399999817,1.7358809200000147,1.7358809200000147,4,0.5058809200000147,104.81752862363592,1.0112496869807226
2223,"[0.977078692587029, 0.9770773975625251, 0.9808564647413567]",1.4801202731586394,0.3185239766666726,1.5943092450000027,GeRhO4-rutile,"(2, 1, 1)",Ge1Rh1O4,3.334596459999998,0.3185239766666726,1.2757852683333302,1.7402872149999953,1.585403540000002,1.7402872149999953,3,0.5102872149999953,100.92854312621552,0.9824652017569132
28011,[0.9803742185682685],1.347835541292437,1.3187944099999902,2.715404073333339,mp-1213781,"(1, 1, -2)",Co4Se4O20,4.500263570000013,1.3187944099999902,1.396609663333349,1.784859496666674,0.419736429999987,1.784859496666674,3,0.554859496666674,103.35176792769872,0.9910319381467138
31416,"[0.980049079399885, 0.9829579633193849]",1.378804257583997,1.31707191999997,3.1076647049999604,mp-776532,"(1, 0, 1)",Hf2O4,4.50918145999992,1.31707191999997,1.7905927849999903,1.4015167549999594,0.4108185400000801,1.7905927849999903,2,0.5605927849999903,101.97634346127406,0.9867197873655524
29254,[0.9891157207347843],1.4149228946279924,1.36385973999999,2.479122989999977,mp-1193554,"(1, 1, 0)",Bi8Se12O40,4.28567300999998,1.36385973999999,1.1152632499999868,1.8065500200000024,0.6343269900000204,1.8065500200000024,3,0.5765500200000027,101.04358225425015,1.0144329261363705
14178,[0.980184015368612],1.4271596740708343,0.7971836099999712,2.0689413449999825,PtRhO4-rutile,"(2, 0, 1)",Pt1Rh1O4,3.875529690000005,0.7971836099999712,1.271757735000011,1.8065883450000229,1.0444703099999946,1.8065883450000229,3,0.5765883450000229,101.94491173202852,0.9915597082202168
25662,[0.9720350308607881],1.4783634833653725,0.2538233700000013,1.83978521999998,mp-1176488,"(1, 1, 0)",Mn16Hg8O32,3.096722109999971,0.2538233700000013,1.585961849999978,1.2569368899999915,1.8232778900000288,1.8232778900000288,4,0.5932778900000288,102.65944079923317,0.9827176318233872
72012,[0.9737732402706809],1.4456547044217587,0.8180221300000119,2.417483940000037,mp-754152,"(1, 1, 0)",Y6Bi6O18,4.255611750000068,0.8180221300000119,1.5994618100000253,1.8381278100000311,0.6643882499999316,1.8381278100000311,3,0.6081278100000311,102.08186649012868,1.0057347286102394
43127,[0.9717370885655046],1.4699438194897112,0.799244909999951,2.606177620000009,SnMoO4-rutile,"(1, 1, 2)",Sn1Mo1O4,4.471246370000015,0.799244909999951,1.8069327100000576,1.8650687500000056,0.4487536299999854,1.8650687500000056,3,0.6350687500000056,97.96135088926916,0.9955388303848828
