,filename,entry number,composition,nads,OH_length 1,OH_length 2,OO_length,OOH angle 1,OOH angle 2,OH_length 1b,OH_length 2b,OO_lengthb,OOH angle 1b,OOH angle 2b,slab_sid,system_id_OH,OH,system_id_O,O,bulk_id,miller_index,bulk_symbols,HO2,delG1,delG2,delG3,delG4,maxG,RDS,eta
77193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,31,HBa12Cs12O22,1,2.9653589525956883,2.244158516438905,1.307191371544584,45.16749275393199,110.43390390438292,,,,,,73903,77238,0.5765490200000012,70316,2.029734060000008,mp-754272,"(0, 1, 0)",Cs4Ba4O6,1.939376680000007,0.5765490200000012,1.4531850400000068,-0.090357380000001,2.980623319999993,2.980623319999993,4,1.7506233199999932
77193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,31,HBa12Cs12O22,1,2.9653589525956883,2.244158516438905,1.307191371544584,45.16749275393199,110.43390390438292,,,,,,73903,77238,0.5765490200000012,77223,1.6685437466666688,mp-754272,"(0, 1, 0)",Cs4Ba4O6,1.939376680000007,0.5765490200000012,1.0919947266666676,0.2708329333333381,2.980623319999993,2.980623319999993,4,1.7506233199999932
78328,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,63,HO34Sn12Zn8,1,3.27011377219027,2.199696160138834,1.30545870094433,27.704110848795448,136.2797228661158,,,,,,74488,72920,1.3285897750000208,77556,4.2847304100000345,mvc-14010,"(1, 1, 0)",Zn4Sn6O16,3.728867160000048,1.3285897750000208,2.956140635000014,-0.5558632499999869,1.1911328399999523,2.956140635000014,2,1.726140635000014
68776,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,170,HAl66Cd2O104,1,1.8552350670719935,0.9846057558558227,1.3796692350835424,31.261807111746762,102.08829003682676,,,,,,71071,68671,1.5927173100001062,74977,2.47742756000005,mp-674298,"(1, 0, 0)",Al44Cd2O68,4.52285121000011,1.5927173100001062,0.8847102499999437,2.04542365000006,0.39714878999989,2.04542365000006,3,0.81542365000006
31662,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,208,HO52Si16Zr16,1,6.807804719746369,0.9650770955506225,6.447098138953888,7.747397189197096,108.02121732040253,,,,,,19689,12254,-2.9853982199999987,9507,-2.7196664274999898,mp-11736,"(0, 0, 1)",Zr4Si4O16,-5.693430760000072,-2.9853982199999987,0.2657317925000089,-2.973764332500082,10.613430760000073,10.613430760000073,4,9.38343076000007
70527,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,303,HO48Sb16Tl16,1,1.8896907220983599,9.709864629730058,10.152121758814925,71.21560462412899,10.617394247674495,,,,,,75235,73672,1.495802912500006,71107,2.0739722000000405,mp-30058,"(1, 0, -2)",Tl6Sb6O18,4.789136170000004,1.495802912500006,0.5781692875000346,2.715163969999963,0.1308638299999964,2.715163969999963,3,1.485163969999963
12591,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,533,HO26Zn24,1,7.801018926745819,0.9739931835178426,7.9272416161624095,7.041048433455571,79.04753350309473,,,,,,23964,19718,1.3968654199999924,10802,2.7257959400000003,mp-1093993,"(2, 0, 1)",Zn4O4,3.6372306799999854,1.3968654199999924,1.328930520000008,0.9114347399999853,1.2827693200000143,1.3968654199999924,1,0.1668654199999923
31561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,561,HO50Ti60,1,11.92991957382325,0.9765827829312655,11.329550885364732,3.796677277111441,126.01198521151633,,,,,,81299,26535,-2.3055686799999844,34794,-2.775037874999984,mp-1071163,"(3, 0, 2)",Ti3O3,-4.751823349999998,-2.3055686799999844,-0.4694691949999989,-1.9767854750000144,9.671823349999997,9.671823349999997,4,8.441823349999996
26301,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,624,HK8O20Ti8,1,2.167154182099693,11.559813831654518,9.597812799486995,152.24807218468848,5.008054343809548,,,,,,80774,15428,-1.477712965,36076,1.4640668250000008,mp-28075,"(0, 0, 1)",K4Ti4O10,-1.630048150000024,-1.477712965,2.941779790000001,-3.094114975000025,6.550048150000024,6.550048150000024,4,5.320048150000025
4818,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0000.lmdb,668,HAg24Al24O46,1,1.9243597192185362,0.979776078537105,1.4968074914956069,30.106457116356804,99.86997941996837,,,,,,15189,20213,-1.5163751899999818,20301,0.6371254600000189,mp-9631,"(3, -1, 0)",Al2Ag2O4,2.938973089999988,-1.5163751899999818,2.1535006500000007,2.301847629999969,1.981026910000012,2.301847629999969,3,1.071847629999969
